0,1,2,3,4,5
journalist/reporter,ID,967-758-6808,under review,2011-11-08,2031-02-22
finance/investment analyst,ID,284-754-3297,inactive,2005-07-17,2023-09-15
government official/diplomat,TR,148-576-3610,under review,2023-11-02,2023-07-25
law enforcement officer,HT,728-143-9668,infiltration,2010-01-31,2026-12-21
finance/investment analyst,NZ,516-713-2851,infiltration,2020-11-17,2034-12-06
arts connoisseur,AF,485-611-6755,under review,2009-03-02,2030-12-12
medical professional,NO,174-990-9127,under surveillance,2015-02-28,2034-11-27
construction worker/engineer,CN,489-946-8640,active,2021-10-27,2023-05-11
arts connoisseur,CA,605-346-4023,compromised,2011-03-06,2033-08-20
social media influencer,CN,230-574-9720,under development,2005-02-26,2033-05-26
arts connoisseur,ID,586-653-8507,compromised,2004-06-17,2024-10-03
arts connoisseur,PL,790-832-3960,infiltration,2016-07-08,2029-02-13
finance/investment analyst,CN,572-334-5595,burned,2005-05-06,2026-07-19
humanitarian worker,CN,716-451-3443,under surveillance,2009-05-01,2031-05-13
tourist/traveler,RU,139-766-2469,compromised,2023-10-12,2032-05-09
construction worker/engineer,PH,277-501-7144,compromised,2014-11-03,2033-09-23
business consultant,ID,109-257-3677,infiltration,2015-11-15,2031-11-14
social media influencer,PT,174-148-9666,emergency extraction,2022-12-30,2024-06-08
corporate executive,CN,504-211-1600,infiltration,2016-10-07,2029-01-09
humanitarian worker,ID,143-278-4911,inactive,2005-07-20,2028-03-09
food/culinary expert,ID,834-703-0164,under review,2015-10-04,2023-11-20
journalist/reporter,ID,120-582-3526,inactive,2021-07-31,2033-01-12
tourist/traveler,ID,268-726-1707,active,2023-10-13,2031-07-04
medical professional,GM,984-798-2478,emergency extraction,2021-08-14,2023-02-26
finance/investment analyst,ID,218-515-1167,compromised,2004-07-06,2024-09-30
humanitarian worker,FR,386-423-8108,emergency extraction,2013-12-12,2025-02-11
freelance photographer,RU,441-414-9416,active,2004-03-25,2034-01-18
journalist/reporter,BR,487-956-1941,emergency extraction,2005-10-15,2023-11-05
corporate executive,ID,916-751-0973,under review,2018-03-07,2023-09-25
food/culinary expert,NZ,557-493-3583,deep cover,2014-12-31,2030-09-01
journalist/reporter,RU,895-891-2225,infiltration,2013-08-02,2027-12-10
tourist/traveler,AZ,777-402-6661,active,2007-11-05,2029-05-12
arts connoisseur,CN,992-201-7626,compromised,2011-06-03,2033-03-11
corporate executive,FR,657-518-2493,emergency extraction,2015-07-13,2030-03-02
security specialist,BR,286-100-9412,compromised,2017-07-23,2026-05-25
government official/diplomat,PL,820-627-5278,burned,2022-10-27,2034-01-29
social media influencer,CN,626-607-3613,infiltration,2012-07-30,2024-11-12
travel blogger/reviewer,ZW,127-596-7096,infiltration,2020-07-25,2027-04-28
medical professional,IE,130-783-2873,active,2017-04-22,2025-06-25
business consultant,TH,766-994-2146,infiltration,2020-07-08,2031-11-03
freelance photographer,RU,581-619-4319,infiltration,2008-10-20,2029-03-28
business consultant,CN,218-571-6889,active,2008-06-24,2030-03-03
arts connoisseur,KZ,483-325-1411,infiltration,2020-01-10,2034-11-28
corporate executive,CR,542-561-5909,deep cover,2012-10-31,2025-12-10
medical professional,CN,842-401-5267,active,2007-03-07,2029-07-11
travel blogger/reviewer,GR,797-888-9169,under surveillance,2004-02-28,2026-09-05
social media influencer,ID,224-833-4296,emergency extraction,2022-08-03,2027-04-27
business consultant,UA,235-373-8852,inactive,2019-04-10,2026-03-17
tech entrepreneur,HR,428-315-1793,infiltration,2007-10-25,2033-09-23
journalist/reporter,GH,669-479-1851,under surveillance,2021-03-03,2028-11-28
finance/investment analyst,MK,411-448-1311,infiltration,2012-09-07,2029-12-22
finance/investment analyst,ID,915-417-7769,inactive,2010-12-05,2027-12-03
construction worker/engineer,AR,975-751-5110,active,2018-06-03,2033-05-10
construction worker/engineer,PH,192-697-1874,compromised,2018-10-07,2026-04-27
environmental activist,CO,901-547-5458,under development,2015-07-11,2034-07-23
arts connoisseur,CN,692-508-5640,compromised,2021-06-21,2029-03-23
