0,1,2,3,4,5,6,7
Benedick,Asty,1962-09-25,M,GR,1,sniffer,under investigation
Gracia,Wagstaffe,1975-12-09,F,HN,7,asset handler,training
Jessalyn,Torbard,1992-10-02,F,BR,4,undercover agent,on leave
Myles,Fair,1965-12-17,M,GR,8,counterintelligence agent,active
Tuesday,Kitchenside,1999-02-06,F,ID,6,assassin,deep cover
Natty,Loker,2000-01-27,M,ZA,2,underwater specialist,intelligence gathering
Aldo,Chapier,1970-03-22,M,RU,9,agent in place,undercover
Eliot,Steagall,1974-09-02,M,CN,7,cyber operative,surveillance
Stanleigh,Gueinn,1960-12-09,M,BR,2,technical specialist,covert diplomacy
Egon,Fyall,1955-06-01,M,RU,5,sniffer,on leave
Shani,Giroldi,1990-05-04,F,SE,4,demolitions expert,active
Gena,Oldknowe,1967-11-21,F,CN,3,infiltration expert,under investigation
Ania,Eason,1980-04-06,F,US,7,cyber operative,deep cover
Westley,Durram,1977-02-12,M,RU,10,counterterrorism specialist,surveillance
Edyth,Beiderbeck,1957-01-23,F,PS,3,combat specialist,surveillance
Zelig,Pinkett,1972-03-25,M,LB,7,interrogation specialist,technical support
Viv,Scrinage,1992-02-19,F,CN,10,asset handler,intelligence gathering
Valentijn,Mandrier,1964-12-30,M,CN,3,medical specialist,interrogation
Deborah,Shillington,2004-06-04,F,CN,9,survivalist,under investigation
Roslyn,Kenningley,2005-03-26,F,US,1,medical specialist,intelligence gathering
Zebulon,Drife,1971-08-28,M,PH,6,medical specialist,interrogation
Clarine,Lanchester,1976-04-13,F,AR,10,sniffer,infiltration
Stephannie,Grigorian,1988-01-11,F,MN,2,assassin,infiltration
Hally,Simkin,1987-05-16,F,CN,10,undercover agent,black ops
Harwell,Piller,1962-03-21,M,MV,9,interrogation specialist,psychological operations
Daphne,Joselin,1983-09-30,F,PA,2,combat specialist,training
Kathryne,Ogden,1956-09-11,F,VN,2,cyber operative,on leave
Rutger,Wixey,1985-05-04,M,AR,8,sniffer,psychological operations
Otho,Bridgewater,1969-04-22,M,KH,8,medical specialist,psychological operations
Niko,Somerfield,1972-04-17,M,RU,3,assassin,psychological operations
Aube,Dronsfield,1971-03-13,M,PH,10,undercover agent,on leave
Theadora,Amori,1969-12-29,F,CN,3,asset handler,interrogation
Ursola,Swindells,1986-01-09,F,PE,5,interrogation specialist,training
Forrest,Clucas,1986-11-20,M,UA,2,intelligence analyst,black ops
Marilyn,Hennington,1959-01-19,F,CN,3,sniper,injured
Ingar,Teasey,1963-02-21,M,US,4,asset handler,psychological operations
Hyacinthe,Spurgin,1964-10-16,F,CN,3,negotiation expert,recovery
Dalli,Padberry,1977-04-27,M,CN,10,undercover agent,reserve
Kimberley,Karppi,1998-01-09,F,CN,5,combat specialist,reserve
Boycey,Kerridge,1980-12-28,M,PH,6,survivalist,technical support
Corby,Cadell,1966-04-15,M,PS,4,infiltration expert,reconnaissance
Rowen,Daniel,2001-11-14,M,GT,9,combat specialist,on leave
Josie,Corking,1975-06-05,F,PT,10,underwater specialist,active
Guy,Causon,2004-08-20,M,ID,1,interrogation specialist,psychological operations
Emalee,Gilling,2004-09-05,F,PH,6,asset handler,intelligence gathering
Kaspar,Bellee,1998-03-12,M,FI,3,negotiation expert,deep cover
Duncan,Mawson,1971-10-11,M,UZ,2,negotiation expert,psychological operations
Glory,Mancell,1959-03-02,F,CN,5,cyber operative,undercover
Terrell,Schukert,1954-06-30,M,TZ,1,escape and evasion expert,on leave
Cookie,Harbor,2005-01-11,F,UA,10,sniffer,under investigation
Elyn,Hambleton,1958-02-27,F,AL,7,combat specialist,surveillance
Purcell,Pardue,1975-03-21,M,PT,6,counterintelligence agent,reconnaissance
Justinn,Bettleson,1963-06-23,F,SE,6,interrogation specialist,under investigation
Thatch,Heazel,1989-05-13,M,CN,2,escape and evasion expert,active
Sibbie,Laws,1986-04-20,F,PT,2,undercover agent,reconnaissance
Sampson,Gaw,1993-11-10,M,US,4,medical specialist,technical support
Rey,Glaysher,1992-08-22,F,BO,7,escape and evasion expert,standby
Lemar,Pacey,1961-10-20,M,CN,10,rogue hunter,under investigation
Caria,Tilley,1956-09-03,F,PT,7,medical specialist,recovery
Wait,Rappaport,2000-05-25,M,KR,5,survivalist,undercover
Annice,Pankhurst.,1991-03-14,F,UA,2,asset handler,under investigation
Rachael,Schiell,1991-12-29,F,MA,5,medical specialist,recovery
Ruby,Battaille,1996-05-19,M,IL,2,undercover agent,recovery
Randi,Robotham,1975-07-10,M,ID,7,escape and evasion expert,training
Remus,Deacock,2004-11-20,M,PL,5,medical specialist,recovery
Valentia,Camell,2001-07-06,F,ID,2,asset handler,standby
Mathias,Pickup,1997-06-03,M,NO,10,communications specialist,recovery
Cristian,Katz,1980-02-17,M,ID,2,agent in place,reconnaissance
Lindsy,Adnam,1962-05-28,F,RU,6,psychological warfare specialist,undercover
Sheelah,Egel,2000-04-08,F,JP,7,negotiation expert,black ops
Willyt,Pickersail,1993-10-19,F,MG,8,psychological warfare specialist,under investigation
Maddie,Stanett,1967-12-03,F,SE,9,undercover agent,covert diplomacy
Winonah,Posvner,1962-07-03,F,FR,1,counterterrorism specialist,active
Fallon,O'Hagan,1968-10-27,F,IE,4,underwater specialist,covert diplomacy
Benedetto,Wyrall,1963-04-11,M,SE,8,assassin,undercover
Blaine,Riccetti,1997-08-29,M,CN,8,field operative,injured
Jermaine,Jesper,1983-05-30,F,ID,1,cyber operative,active
Catherine,Lugard,1988-09-16,F,RU,7,sniper,on assignment
Amalea,Charon,2005-01-03,F,FR,4,communications specialist,active
Chariot,Craigmile,1959-07-15,M,FR,5,influence operations specialist,interrogation
Goldia,Skoggings,2003-04-29,F,PS,8,communications specialist,injured
Ania,Paxton,2000-03-15,F,PE,4,counterterrorism specialist,reserve
Obidiah,Romaynes,2003-02-05,M,CN,6,psychological warfare specialist,intelligence gathering
Sarena,Casetta,1991-01-13,F,JP,1,rogue hunter,under investigation
Griswold,Laudham,2001-10-24,M,FR,6,counterterrorism specialist,undercover
Noll,Ionnisian,1976-10-18,M,ID,2,underwater specialist,recovery
Jerrine,Sadgrove,1978-05-08,F,KE,10,translator,black ops
Marve,Toppes,1975-01-06,M,CO,5,sniffer,deep cover
Lillis,Bemment,1983-11-18,F,RS,10,rogue hunter,reconnaissance
Emelen,Misk,1968-02-13,M,CN,6,rogue hunter,active
Natalee,Jaquiss,1991-07-04,F,CN,9,technical specialist,deep cover
Perla,Jancik,1995-01-08,F,ID,2,technical specialist,recovery
Ambros,Faudrie,1985-07-24,M,ID,4,underwater specialist,reconnaissance
Padraig,Boichat,1975-08-24,M,FR,7,sniffer,deep cover
Darren,Adelman,1973-08-26,M,UA,4,interrogation specialist,undercover
Livvy,Colomb,1981-10-15,F,SE,2,undercover agent,black ops
Hamilton,Stovell,1993-08-25,M,FR,7,communications specialist,undercover
Keefe,Botler,1958-04-23,M,CN,3,translator,interrogation
Zared,Reding,1959-09-30,M,AR,7,agent in place,covert diplomacy
Prudi,Guillond,2002-02-14,F,UA,10,sniper,training
Annice,O'Regan,1961-03-16,F,PH,10,technical specialist,psychological operations
Allen,O'Doherty,1977-08-04,M,PL,2,demolitions expert,undercover
Myrtle,Roggeman,1961-03-24,F,PK,6,assassin,training
Clo,Gorch,1994-08-29,F,CN,3,sniffer,reserve
Lu,Mobberley,1970-12-10,F,PL,2,agent in place,training
Siffre,Inseal,1966-09-23,M,PH,3,technical specialist,technical support
Antoinette,Castagne,1968-10-25,F,GB,9,translator,technical support
Nickey,Dismore,1969-05-08,M,ID,3,counterterrorism specialist,psychological operations
Anselm,Awcock,1973-08-22,M,DK,9,field operative,under investigation
Meade,Stookes,1991-11-10,M,BR,6,asset handler,infiltration
Mildred,Ribeiro,1977-02-23,F,PH,5,influence operations specialist,under investigation
Trish,Alpe,1989-12-06,F,NL,9,assassin,black ops
Kippie,Ivison,1956-06-10,M,CN,10,intelligence analyst,training
Saxon,Lepoidevin,1998-08-25,M,KE,6,escape and evasion expert,standby
Kennie,Marston,1988-10-28,M,DK,7,combat specialist,active
Fritz,Delves,1984-12-20,M,PE,5,undercover agent,training
Brander,Rozenzweig,1959-12-05,M,GR,6,field operative,recovery
Kalli,Jopke,2004-09-20,F,PH,9,cyber operative,recovery
Torrance,Acom,1980-10-27,M,RU,6,infiltration expert,reconnaissance
Deloris,Helstrip,1972-09-19,F,GT,1,undercover agent,injured
Cece,Padefield,1999-06-10,M,ZA,7,escape and evasion expert,undercover
Vince,Bellwood,1960-05-11,M,BR,5,negotiation expert,reserve
Rodrick,Conochie,1968-03-07,M,AF,10,underwater specialist,on leave
Theresina,Lambeth,1987-03-12,F,ET,7,intelligence analyst,on assignment
Evelina,Pauletto,1967-11-30,F,CN,9,sniper,black ops
Trip,Kerman,1987-06-12,M,ID,3,counterintelligence agent,surveillance
Nealon,Gruby,1987-09-30,M,CN,8,psychological warfare specialist,infiltration
Giavani,Juckes,1958-07-20,M,CM,5,negotiation expert,intelligence gathering
Celestyna,Atmore,2005-05-21,F,TH,2,undercover agent,recovery
Oran,Symonds,1988-05-13,M,ID,4,assassin,undercover
Erhard,Lindenfeld,1956-06-22,M,PH,1,escape and evasion expert,covert diplomacy
Ranique,Ralph,1958-10-07,F,CN,5,survivalist,intelligence gathering
Emilio,Salvatore,2005-06-19,M,RU,7,field operative,standby
Giacinta,Tinkham,2005-09-20,F,AR,4,counterterrorism specialist,active
Salem,Ruckert,1965-08-14,M,ID,3,survivalist,active
Cecilius,Blint,1967-12-29,M,CO,3,influence operations specialist,on assignment
Alphard,Lehrer,1954-12-25,M,SY,4,cyber operative,infiltration
Vincents,Mandel,2003-09-26,M,ID,5,assassin,standby
Mitchael,Passby,1960-12-03,M,ID,3,combat specialist,covert diplomacy
Moises,Gottelier,1994-12-16,M,TH,1,survivalist,infiltration
Abdel,Bruntjen,2003-11-03,M,TN,7,asset handler,injured
Cybill,Yurygyn,1971-09-29,F,PT,10,assassin,active
Kalinda,Dreier,1988-05-28,F,BR,6,cyber operative,deep cover
Winnie,Sandys,1977-08-02,M,NO,1,undercover agent,reconnaissance
Marjorie,Gookes,1994-12-13,F,CN,8,negotiation expert,black ops
Gabriel,Botcherby,1989-09-01,M,CN,4,influence operations specialist,under investigation
Kania,Baskwell,1984-10-12,F,PH,10,asset handler,psychological operations
Georgia,Collett,1980-08-26,F,ID,1,assassin,undercover
Boote,Stillgoe,1968-06-10,M,CN,2,medical specialist,surveillance
Glynn,Metschke,1985-10-15,M,MX,10,rogue hunter,training
Jaimie,Beardsall,2000-02-11,M,CN,5,interrogation specialist,intelligence gathering
Sharline,Paley,1962-07-25,F,CU,6,undercover agent,psychological operations
Marla,Cruttenden,2003-03-24,F,BY,10,rogue hunter,undercover
Putnem,Aicheson,1975-04-14,M,FR,3,interrogation specialist,psychological operations
Giselbert,Meriel,1980-02-16,M,JP,2,combat specialist,surveillance
Tobie,Feather,1992-03-22,M,CN,9,negotiation expert,active
Cary,Stapford,1972-02-29,M,PH,10,escape and evasion expert,surveillance
Gordan,Haselwood,1965-07-21,M,CM,10,demolitions expert,psychological operations
Calhoun,Bowdrey,1999-05-18,M,YE,9,negotiation expert,recovery
Galven,Diggell,1986-07-26,M,RU,9,influence operations specialist,infiltration
Tootsie,Frie,1959-01-30,F,SY,8,rogue hunter,interrogation
Malvin,Dodge,1981-06-01,M,PT,3,counterintelligence agent,on leave
Dorey,Boldecke,1971-03-06,M,VE,2,survivalist,under investigation
