0,1,2,3,4,5,6,7
Nickie,Summerson,1975-12-01,F,VN,1,asset handler,on leave
Molly,Hocking,2004-09-21,F,UA,10,medical specialist,under investigation
Bendicty,Garrod,1991-03-30,M,CN,1,escape and evasion expert,undercover
Bevin,Vina,1985-03-27,M,US,10,psychological warfare specialist,reserve
Garner,Goodfellow,1978-10-12,M,PH,5,agent in place,under investigation
Huntley,Dobell,1999-10-29,M,MU,7,survivalist,reconnaissance
Gilda,Adenot,1978-12-31,F,BA,9,communications specialist,on assignment
Fawn,Timbrell,1980-04-10,F,FR,9,counterterrorism specialist,recovery
Tedd,Ripper,1959-04-27,M,TZ,10,influence operations specialist,deep cover
De,MacCaughen,1969-07-31,F,CN,3,agent in place,covert diplomacy
Tam,Dyott,1964-10-01,M,NO,7,interrogation specialist,black ops
Cosme,Dumphry,2001-05-09,M,PL,5,undercover agent,training
Dara,Masurel,1967-04-06,F,SE,4,sniffer,black ops
Torrance,Coole,1977-03-18,M,PL,2,influence operations specialist,recovery
Lani,Gibbie,1967-02-17,F,FR,10,demolitions expert,surveillance
Claudina,Blesli,1996-12-04,F,US,6,agent in place,intelligence gathering
Berkie,Henrie,1965-08-29,M,BR,5,field operative,reserve
Reeba,Jaume,1959-04-30,F,UA,8,medical specialist,black ops
Darice,Marcu,1979-01-27,F,PT,5,psychological warfare specialist,interrogation
Aristotle,Chat,1955-03-08,M,TM,8,intelligence analyst,deep cover
Vladamir,Nibley,1993-07-22,M,ID,8,negotiation expert,surveillance
Devon,Cassin,1993-06-30,F,AZ,5,field operative,standby
Arlen,Gomery,1977-03-30,M,PH,7,technical specialist,on assignment
Gardener,McCrum,1996-11-07,M,ID,7,sniffer,active
Silvano,Danilovic,1972-12-20,M,CN,3,undercover agent,training
Hansiain,Mongenot,1957-09-21,M,MX,1,infiltration expert,reconnaissance
Wallie,Caney,2004-05-18,M,CZ,1,agent in place,interrogation
Shirley,Leggatt,1975-01-08,F,RU,1,sniffer,psychological operations
Donna,Demaine,1975-01-14,F,SE,2,rogue hunter,active
Devinne,Gurry,1996-07-31,F,BR,6,counterterrorism specialist,active
Marge,Le Friec,2001-01-19,F,CO,6,negotiation expert,undercover
Thorn,Burdikin,2004-06-06,M,NG,6,sniffer,interrogation
Wandie,Shade,1982-02-21,F,CN,4,psychological warfare specialist,intelligence gathering
Atalanta,Pfleger,1979-06-03,F,CN,6,survivalist,psychological operations
Rozamond,Dyzart,1976-04-05,F,CM,4,translator,training
Mahalia,Trunks,1981-03-10,F,GT,6,underwater specialist,technical support
Kilian,Trail,1988-01-25,M,ID,1,counterintelligence agent,technical support
Vivian,Skelding,1959-03-14,F,PK,9,field operative,training
Latisha,Iacomettii,1981-05-30,F,DM,6,sniper,standby
Matteo,Dye,1965-11-07,M,BH,9,counterintelligence agent,standby
Elia,Arrigo,1959-12-13,M,GR,3,assassin,reserve
Jemie,Andersson,1963-04-18,F,PL,10,psychological warfare specialist,training
Hamid,Bramall,1994-12-17,M,ID,7,intelligence analyst,undercover
Vita,McGurn,1995-03-07,F,FR,10,agent in place,on assignment
Roth,Harmeston,1991-02-09,M,BG,4,interrogation specialist,reserve
Annelise,Bakhrushkin,1986-04-23,F,MX,4,negotiation expert,surveillance
Chrisse,Doorly,1957-09-04,M,HR,8,translator,under investigation
Atlante,Natte,1981-07-30,F,NO,6,combat specialist,black ops
Agretha,Dumelow,1962-12-18,F,CN,5,interrogation specialist,under investigation
Delmore,Gulleford,1963-12-03,M,TH,6,intelligence analyst,injured
Morry,Kubacki,1960-02-21,M,RU,2,escape and evasion expert,reserve
Isabelita,Ashbolt,1993-05-16,F,CN,2,negotiation expert,on assignment
Sauveur,Hawkswell,2001-04-25,M,ID,8,sniper,injured
Harlie,Littlemore,1991-01-19,F,CZ,5,demolitions expert,on assignment
Florida,Pretley,1978-08-07,F,CN,8,sniffer,training
Olive,Bythway,1959-08-17,F,PE,5,counterintelligence agent,reserve
Karyn,Bustard,1998-09-16,F,BR,1,medical specialist,active
Trenna,Bleakley,1968-12-09,F,CN,10,counterterrorism specialist,interrogation
Rodrick,Norree,1993-08-06,M,JO,8,counterintelligence agent,deep cover
Lorrin,Dellenbach,1994-03-04,F,CN,3,underwater specialist,injured
Farrel,Woodwind,1985-03-18,M,CM,5,counterintelligence agent,deep cover
Glendon,Fisher,1967-11-04,M,ID,3,interrogation specialist,on leave
Teddie,Sirmon,1977-06-23,M,CN,6,counterintelligence agent,infiltration
Baily,Towe,1970-11-25,M,RU,8,underwater specialist,on leave
Kinny,Beadle,1955-04-03,M,CN,7,psychological warfare specialist,reserve
Bayard,Daouse,1999-05-20,M,CN,2,technical specialist,reconnaissance
Robina,Novak,1975-09-04,F,UY,6,psychological warfare specialist,standby
Rosalind,Standish,1954-12-11,F,CN,8,undercover agent,black ops
Philippe,Sheals,1983-05-20,F,CO,2,technical specialist,covert diplomacy
Tanitansy,Ahlin,1991-02-28,F,RU,9,escape and evasion expert,on leave
Chrissie,Labba,1996-05-19,M,CN,5,psychological warfare specialist,covert diplomacy
Arch,Lindmark,1998-06-06,M,PH,10,medical specialist,covert diplomacy
Murielle,Edwicker,1994-06-23,F,BR,9,translator,intelligence gathering
Kerstin,Brendish,1984-08-09,F,TN,5,combat specialist,training
Jone,Doumerc,1983-12-19,M,PT,5,intelligence analyst,psychological operations
Archy,Savell,1985-01-27,M,FR,3,translator,infiltration
Helen-elizabeth,Figura,1961-08-08,F,CZ,7,field operative,surveillance
Dolli,Ensten,1965-05-12,F,LB,2,counterterrorism specialist,training
Kassey,Tomaszczyk,1992-10-02,F,ID,1,infiltration expert,interrogation
Khalil,Jerschke,1967-12-05,M,MX,2,rogue hunter,standby
Shani,Sterke,1960-09-25,F,CN,4,demolitions expert,reconnaissance
Ardine,Solan,1977-10-15,F,GE,4,cyber operative,deep cover
Abbye,Heinzler,1997-07-31,F,CN,5,psychological warfare specialist,technical support
Alana,Hackey,1976-05-22,F,ID,2,survivalist,infiltration
Wilbur,Ferreras,1979-01-21,M,PT,10,influence operations specialist,undercover
Erskine,Banister,1971-08-24,M,FR,9,sniffer,under investigation
Elden,Bryson,1955-09-19,M,BR,8,counterterrorism specialist,active
Inez,Chaucer,1983-12-11,F,GR,2,undercover agent,recovery
Lyndel,Vasenkov,1990-02-19,F,ID,8,sniper,covert diplomacy
Brooks,Menary,1973-02-07,F,CN,6,combat specialist,surveillance
Royce,Stapele,1961-02-04,M,CN,5,negotiation expert,psychological operations
Marcie,Bettlestone,1981-07-20,F,CN,2,survivalist,technical support
Rolph,Sheards,1970-01-28,M,CZ,6,medical specialist,technical support
Gwyneth,Handrok,1999-09-26,F,CN,4,sniffer,recovery
Gino,Matthis,1959-08-25,M,TH,9,psychological warfare specialist,intelligence gathering
Fidelity,Hughlock,1962-12-25,F,IL,2,translator,reserve
Brandy,Starking,1987-03-20,F,ID,7,translator,black ops
Loella,McIlveen,1960-10-24,F,PH,8,assassin,psychological operations
Daniela,Semon,1974-09-24,F,VE,6,field operative,on assignment
Lizbeth,Buzzing,1983-11-06,F,CN,5,cyber operative,under investigation
Aylmar,Waldie,1999-12-20,M,PK,10,escape and evasion expert,on assignment
Gratia,Lusher,1959-05-28,F,RU,9,medical specialist,reconnaissance
Hyacinthie,Briston,1981-06-05,F,NO,8,escape and evasion expert,psychological operations
Joyan,Gamlen,2001-11-23,F,EE,1,demolitions expert,black ops
Leola,Betton,1985-09-13,F,CN,2,rogue hunter,deep cover
