0,1,2,3,4,5
2014-12-10,2013-09-15,693 633 6932,Hejiang,CN,undercover
2011-03-11,2019-11-09,220 190 7679,Chengyang,CN,undercover surveillance
2013-06-28,2010-03-16,211 129 5103,Tabonoc,PH,under review
2012-05-07,2012-06-29,965 230 9569,Al Buq‘ah,PS,counterintelligence
2005-09-06,2011-01-12,531 105 9095,Khok Sung,TH,surveillance
2020-02-24,2012-03-29,427 759 1816,Qiujia,CN,covert
2009-07-11,2013-02-16,379 861 4101,Dadong,CN,interception
2020-02-26,2009-10-28,561 972 4256,Changgou,CN,completed
2019-12-04,2024-09-04,113 516 6859,Krajan C Wonorejo,ID,undercover
2015-04-18,2026-01-05,734 855 6625,Kimhae,KR,cancelled
2014-07-24,2022-12-19,390 625 0424,Baykalovo,RU,interception
2006-02-11,2008-10-14,787 854 9961,Villa Elisa,PY,reconnaissance
2017-09-10,2013-08-22,483 302 8493,Idanha-a-Nova,PT,undercover
2021-08-14,2017-07-20,375 526 0863,Yaozhuang,CN,completed
2021-07-08,2006-12-14,306 487 6330,Akim Oda,GH,rescue
2010-01-28,2014-02-16,936 213 9187,Putang,CN,active
2023-01-19,2015-09-12,665 957 7504,Mudanjiang,CN,undercover
2018-05-25,2013-04-12,798 656 4292,Kladno,CZ,undercover
2011-04-06,2025-10-05,827 730 8949,Yanmen,CN,counterintelligence
2011-09-23,2013-07-19,258 853 4601,Zaječov,CZ,undercover surveillance
2008-07-11,2012-02-05,548 523 0470,Yoshkar-Ola,RU,under review
2013-03-18,2011-07-22,407 276 8203,Aplahoué,BJ,reconnaissance
2011-11-22,2026-04-30,711 769 1560,Temayang,ID,compromised
2021-01-23,2019-07-11,975 731 9422,Honghai,CN,delayed
2005-10-14,2032-10-28,655 472 4906,Tchaourou,BJ,infiltration
2008-02-16,2014-06-28,144 210 9250,Ainaro,TL,compromised
2021-02-20,2026-07-18,440 990 0096,Benito Juarez,MX,compromised
2005-12-14,2007-10-04,171 630 3194,Yangzhuang,CN,undercover surveillance
2009-07-14,2008-06-26,372 989 7367,Somanda,TZ,completed
2015-09-28,2031-12-17,414 688 9064,Alangilanan,PH,rescue
2019-11-21,2033-09-17,230 411 3540,Shāhdādkot,PK,surveillance
2018-08-03,2008-12-08,781 175 9979,Göteborg,SE,compromised
2006-08-16,2018-01-11,544 794 2429,Cumanacoa,VE,cancelled
2015-09-10,2008-02-27,154 660 4471,Zdolbuniv,UA,surveillance
2009-02-09,2008-01-22,455 571 9757,Renhe,CN,infiltration
2016-04-30,2009-04-09,237 804 2510,Baisha,CN,reconnaissance
2005-06-12,2029-01-27,945 126 0538,Wuning,CN,extraction
2022-02-03,2023-07-15,604 682 4217,Gubin,PL,ongoing
2006-08-30,2015-10-22,159 243 4699,Mainit,PH,extraction
2005-11-12,2029-01-29,533 405 4832,Brinje,HR,undercover
2019-11-09,2034-01-27,245 328 4842,Itapuranga,BR,undercover surveillance
2009-04-04,2014-05-29,785 289 6352,Santa Fe de la Vera Cruz,AR,undercover
2018-07-02,2012-01-12,628 603 0221,Hugang,CN,high priority
2009-02-07,2029-11-12,631 537 9750,Kimito,FI,undercover
2008-09-03,2008-04-02,866 775 3201,Pagatan,ID,under review
2012-02-24,2034-08-03,345 267 5354,Fenhe,CN,completed
2016-02-06,2007-09-02,256 407 6771,Yupiltepeque,GT,interception
2019-07-30,2025-03-25,812 735 0252,Jeffersonville,US,covert
2022-01-09,2030-06-19,264 249 8397,Yangp'yŏng,KR,compromised
2009-02-05,2034-05-19,176 781 6651,Yuchi,CN,undercover
2013-06-09,2013-01-21,518 781 8189,Zhangjia,CN,counterintelligence
2007-07-15,2027-12-07,657 849 8090,Patrocinio,PH,covert
2011-08-26,2021-06-04,403 439 1414,Hadabei,CN,undercover
2015-03-26,2030-05-10,602 704 4454,Wujia,CN,counterintelligence
2008-07-06,2016-08-02,256 160 5370,Ono,JP,cancelled
2019-10-06,2031-11-11,478 215 0097,Chambar,PK,active
2011-01-27,2027-11-18,186 752 6439,Riba de Ave,PT,counterintelligence
2008-06-13,2031-10-20,878 697 2478,Matanzas,DO,active
2023-07-07,2028-01-21,576 750 2539,Guacara,VE,covert
2018-09-28,2012-10-26,769 733 7754,Xinhua,CN,delayed
2023-05-31,2023-12-20,346 800 0029,Partikan,ID,covert action
2006-11-05,2010-11-23,734 182 8535,Santarém,BR,counterintelligence
2012-06-02,2030-04-12,190 219 6102,Santiago Atitlán,GT,delayed
2016-01-05,2031-09-17,179 832 4543,Grästorp,SE,covert
2020-04-03,2020-01-22,788 985 8141,Lawepakam,ID,rescue
2015-05-06,2010-11-30,689 506 5826,Los Andes,CO,ongoing
2018-05-17,2012-08-06,760 872 0448,Mukō,JP,counterintelligence
2016-08-15,2018-12-26,880 840 9204,Qianqiao,CN,ongoing
2013-06-11,2007-05-15,830 403 5606,Buliwao,PH,rescue
2018-10-23,2006-01-28,921 836 2503,Bukabu,ID,compromised
2005-12-07,2026-10-13,562 473 7824,Kargowa,PL,under review
2005-08-17,2018-06-05,842 556 5938,Colendra,ID,rescue
2021-06-15,2029-07-13,353 348 5902,Frederiksberg,DK,under review
2010-05-14,2009-12-10,988 350 7158,Jāti,PK,cancelled
2021-03-20,2030-04-04,975 507 2833,Stockholm,SE,cancelled
2020-01-02,2006-08-16,460 297 5016,Waiklibang,ID,extraction
2014-03-19,2030-06-03,777 563 5148,El Rosario,SV,ongoing
2018-11-05,2007-09-03,236 766 6619,Fresnes,FR,undercover surveillance
2012-06-26,2011-06-28,442 480 9609,Soanierana Ivongo,MG,surveillance
2007-05-05,2032-05-14,740 154 4935,Järfälla,SE,rescue
2018-02-26,2013-10-21,815 598 6301,Az Zintān,LY,rescue
2011-05-11,2018-12-21,719 389 8782,Colorado Springs,US,covert
2007-09-15,2009-10-31,991 751 2749,Jawl al Majma‘,YE,completed
2017-08-26,2027-04-27,925 331 7839,Merdeka,ID,extraction
2012-10-11,2006-05-17,475 268 0117,Nanping,CN,delayed
2007-12-05,2030-01-18,703 182 7026,Pangansalan,ID,ongoing
2012-04-29,2022-09-26,663 790 6493,Wentugaole,CN,cancelled
2013-10-27,2026-01-28,514 655 3926,Moyuan,CN,counterintelligence
2016-05-08,2033-08-19,986 141 6786,Växjö,SE,interception
2019-10-20,2023-03-07,644 476 3610,Mityana,UG,counterintelligence
2014-10-16,2024-04-03,113 209 7900,Talitsa,RU,delayed
2017-04-02,2025-10-15,203 616 2616,Jongīyeh,IR,counterintelligence
2015-11-22,2030-05-16,598 364 5403,Xumai,CN,covert action
2016-01-24,2021-02-25,359 205 1574,Hammam Sousse,TN,high priority
2012-03-31,2019-08-29,556 250 6799,Lamovita,BA,covert action
2009-06-10,2020-10-19,826 116 7395,Prado Siongco,PH,surveillance
2015-03-15,2015-03-12,636 158 4449,Dachong,CN,completed
2023-05-15,2027-09-14,806 535 2506,Rassvet,RU,ongoing
2017-11-28,2026-07-18,505 667 5406,Koška,HR,delayed
2005-05-11,2024-01-24,386 252 3742,Nove-Misto,UA,high priority
