0,1,2,3,4,5
2005-07-25,2006-11-03,989 994 8328,Huangjinbu,CN,active
2023-01-26,2019-05-16,620 700 5607,Birqīn,PS,interception
2022-09-10,2021-04-28,714 756 6989,Marína,GR,undercover
2020-06-29,2012-06-10,857 956 8450,Long Beluah,ID,extraction
2012-07-22,2018-02-01,751 829 8387,Yongyang,CN,cancelled
2011-10-27,2011-07-23,356 977 5383,Aizi,CN,completed
2014-09-24,2006-07-20,295 394 4241,Głuchołazy,PL,infiltration
2008-08-10,2031-08-18,862 106 3687,Qazax,AZ,reconnaissance
2020-03-26,2034-03-17,880 399 1546,Daguyun,CN,undercover surveillance
2011-06-20,2034-09-09,537 470 2706,Hedaru,TZ,cancelled
2017-01-20,2018-03-11,608 788 1999,Muricay,PH,delayed
2008-11-02,2022-02-18,167 774 9942,Nadi,FJ,rescue
2014-11-05,2034-06-04,716 809 6812,Enskede,SE,compromised
2009-10-11,2008-05-26,153 204 4245,Saatlı,AZ,compromised
2005-03-08,2024-09-02,773 395 1141,Mariinsk,RU,surveillance
2020-02-07,2013-01-12,520 373 4947,Jianggu,CN,completed
2011-11-20,2009-07-06,175 803 2657,Sotomayor,BO,interception
2021-03-10,2009-04-05,861 655 8704,Sherwood Park,CA,delayed
2006-08-12,2017-09-09,787 134 5855,Karvia,FI,surveillance
2011-06-28,2017-08-13,496 635 9824,Ludvika,SE,undercover
2023-03-15,2018-12-08,426 970 5384,Balengbeng,ID,covert
2010-02-01,2020-08-27,226 888 4676,Brikama,GM,covert action
2015-06-05,2029-04-28,745 870 5992,Miskolc,HU,covert
2021-06-04,2021-10-08,831 391 0357,Cachachi,PE,high priority
2018-11-12,2018-02-06,648 348 8522,Drammen,NO,compromised
2019-05-07,2019-02-20,869 377 8420,Atolina,BY,surveillance
2010-06-07,2021-12-25,301 603 6146,Mogocha,RU,cancelled
2009-03-02,2007-07-13,754 432 7814,Fort Lauderdale,US,extraction
2019-10-26,2017-01-26,704 927 8208,Andekantor,ID,compromised
2017-05-15,2020-06-10,993 151 3497,Pubal,KR,interception
2019-11-21,2034-07-20,514 276 5305,San Nicolás,HN,completed
2015-10-16,2024-05-24,914 543 4011,Agraharam,IN,reconnaissance
2019-07-20,2019-08-19,523 242 4366,Dongzhou,CN,infiltration
2011-01-05,2015-04-13,101 865 4744,Gameleira,BR,infiltration
2009-07-26,2032-02-29,944 905 4369,Hengyang,CN,interception
2009-04-27,2017-11-06,109 193 9140,Hinunangan,PH,ongoing
2008-03-31,2021-02-23,792 574 8713,Kuala Lumpur,MY,extraction
2015-04-17,2020-08-13,805 657 0959,Cerro Blanco,HN,active
2020-07-25,2020-07-11,869 217 8251,Tahilt,MN,extraction
2015-01-10,2017-07-09,894 985 6378,Ibiá,BR,surveillance
2012-12-14,2011-03-01,547 644 0578,Padangtepung,ID,under review
2006-03-21,2009-03-19,908 476 0881,Sanxi,CN,active
2009-10-04,2020-06-08,156 389 5998,Futuroscope,FR,under review
2023-08-07,2032-01-15,208 701 4663,Sabang,PH,extraction
2005-08-29,2013-04-19,111 765 8949,Los Pinos,MX,infiltration
2017-08-29,2028-09-10,395 725 0901,Zátor,CZ,covert
2005-11-28,2019-01-27,631 731 2492,Ryjewo,PL,under review
2011-07-20,2011-09-12,344 195 1707,Pavshino,RU,cancelled
2022-07-17,2017-12-17,404 982 5516,Xuebu,CN,infiltration
2016-11-02,2015-10-08,854 771 0370,Soca,UY,covert action
2017-06-21,2024-03-26,193 172 5104,Kelodan,ID,under review
