INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('journalist/reporter','ID','967-758-6808','under review','2011-11-08','2031-02-22',5689);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('finance/investment analyst','ID','284-754-3297','inactive','2005-07-17','2023-09-15',8770);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('government official/diplomat','TR','148-576-3610','under review','2023-11-02','2023-07-25',6024);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('law enforcement officer','HT','728-143-9668','infiltration','2010-01-31','2026-12-21',3912);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('finance/investment analyst','NZ','516-713-2851','infiltration','2020-11-17','2034-12-06',7998);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('arts connoisseur','AF','485-611-6755','under review','2009-03-02','2030-12-12',5808);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('medical professional','NO','174-990-9127','under surveillance','2015-02-28','2034-11-27',7864);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('construction worker/engineer','CN','489-946-8640','active','2021-10-27','2023-05-11',5494);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('arts connoisseur','CA','605-346-4023','compromised','2011-03-06','2033-08-20',5559);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('social media influencer','CN','230-574-9720','under development','2005-02-26','2033-05-26',6875);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('arts connoisseur','ID','586-653-8507','compromised','2004-06-17','2024-10-03',8117);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('arts connoisseur','PL','790-832-3960','infiltration','2016-07-08','2029-02-13',4846);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('finance/investment analyst','CN','572-334-5595','burned','2005-05-06','2026-07-19',7743);
INSERT INTO secret_identities(sid_type, sid_nationality, sid_other_details, sid_status, sid_issue_date, sid_exp_date, acode) VALUES('humanitarian worker','CN','716-451-3443','under surveillance','2009-05-01','2031-05-13',7244);
