INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Nickie','Summerson','1975-12-01','F','VN',1,'asset handler','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Molly','Hocking','2004-09-21','F','UA',10,'medical specialist','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Bendicty','Garrod','1991-03-30','M','CN',1,'escape and evasion expert','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Bevin','Vina','1985-03-27','M','US',10,'psychological warfare specialist','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Garner','Goodfellow','1978-10-12','M','PH',5,'agent in place','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Huntley','Dobell','1999-10-29','M','MU',7,'survivalist','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Gilda','Adenot','1978-12-31','F','BA',9,'communications specialist','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Fawn','Timbrell','1980-04-10','F','FR',9,'counterterrorism specialist','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Tedd','Ripper','1959-04-27','M','TZ',10,'influence operations specialist','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('De','MacCaughen','1969-07-31','F','CN',3,'agent in place','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Tam','Dyott','1964-10-01','M','NO',7,'interrogation specialist','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Cosme','Dumphry','2001-05-09','M','PL',5,'undercover agent','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Dara','Masurel','1967-04-06','F','SE',4,'sniffer','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Torrance','Coole','1977-03-18','M','PL',2,'influence operations specialist','recovery');
